seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5031,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5032,200,0.0,0.0,0.0,0.0,0.0,0.18659339717671988,0.28322261202756555
5032,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5032,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5033,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5033,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5033,1000,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5034,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5034,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5034,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5035,200,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5035,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5035,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5036,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5036,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.19236172367604312,0.28322261202756555
5036,1000,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5037,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5037,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5037,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5038,200,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5038,500,0.0,0.0,0.0,0.0,0.0,0.2176647567869597,0.28322261202756555
5038,1000,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5039,200,0.0,0.0,0.0,0.0,0.0,0.18659339717671988,0.28322261202756555
5039,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5039,1000,0.4,0.0,0.4,0.08333333333333333,0.0,0.25876795385361895,0.28322261202756555
5040,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5040,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.21402822111497094,0.28322261202756555
5040,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5041,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5041,500,0.8,0.0,0.8,0.08333333333333333,0.0,0.3538878311641659,0.28322261202756555
5041,1000,0.0,0.0,0.0,0.0,0.0,0.23446585956729832,0.28322261202756555
5042,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5042,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
5042,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5043,200,0.0,0.0,0.0,0.0,0.0,0.216919979240474,0.28322261202756555
5043,500,0.0,0.0,0.0,0.0,0.0,0.36495481563214416,0.28322261202756555
5043,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5044,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5044,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.2087328524249425,0.28322261202756555
5044,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
